"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","131","Клик по «Лента заказов» открывает ленту заказов","tests","2026-09-20","passed","2026-09-20","TestMainFunctionality","test_main_functionality","",""
"","234","Клик по «Конструктор» из ленты заказов открывает главную страницу","tests","2026-09-20","passed","2026-09-20","TestMainFunctionality","test_main_functionality","",""
"","127","При добавлении ингредиента в заказ его счётчик увеличивается","tests","2026-09-20","passed","2026-09-20","TestMainFunctionality","test_main_functionality","",""
"","5308","Появление номера заказа в разделе ""В работе""","tests","2026-09-20","passed","2026-09-20","TestOrderFeed","test_orders_feed","",""
"","128","Клик по крестику закрывает окно с деталями ингредиента","tests","2026-09-20","passed","2026-09-20","TestMainFunctionality","test_main_functionality","",""
"","125","Клик по «Конструктор» из ленты заказов открывает главную страницу","tests","2026-09-20","passed","2026-09-20","TestMainFunctionality","test_main_functionality","",""
"","56","При добавлении ингредиента в заказ его счётчик увеличивается","tests","2026-09-20","passed","2026-09-20","TestMainFunctionality","test_main_functionality","",""
"","104","Клик по «Конструктор» на главной странице ничего не меняет","tests","2026-09-20","passed","2026-09-20","TestMainFunctionality","test_main_functionality","",""
"","6683","Увеличение счётчика ""Выполнено за всё время"" при создании заказа","tests","2026-09-20","passed","2026-09-20","TestOrderFeed","test_orders_feed","",""
"","63","Клик по «Конструктор» на главной странице ничего не меняет","tests","2026-09-20","passed","2026-09-20","TestMainFunctionality","test_main_functionality","",""
"","6639","Увеличение счётчика ""Выполнено за сегодня"" при создании заказа","tests","2026-09-20","passed","2026-09-20","TestOrderFeed","test_orders_feed","",""
"","125","Клик по «Конструктор» из личного кабинета открывает главную страницу","tests","2026-09-20","passed","2026-09-20","TestMainFunctionality","test_main_functionality","",""
"","289","Клик по крестику закрывает окно с деталями ингредиента","tests","2026-09-20","passed","2026-09-20","TestMainFunctionality","test_main_functionality","",""
"","6539","Увеличение счётчика ""Выполнено за всё время"" при создании заказа","tests","2026-09-20","passed","2026-09-20","TestOrderFeed","test_orders_feed","",""
"","6499","Увеличение счётчика ""Выполнено за сегодня"" при создании заказа","tests","2026-09-20","passed","2026-09-20","TestOrderFeed","test_orders_feed","",""
"","191","Клик по ингредиенту открывает окно с деталями","tests","2026-09-20","passed","2026-09-20","TestMainFunctionality","test_main_functionality","",""
"","63","Клик по «Лента заказов» открывает ленту заказов","tests","2026-09-20","passed","2026-09-20","TestMainFunctionality","test_main_functionality","",""
"","215","Клик по «Конструктор» из личного кабинета открывает главную страницу","tests","2026-09-20","passed","2026-09-20","TestMainFunctionality","test_main_functionality","",""
"","79","Клик по ингредиенту открывает окно с деталями","tests","2026-09-20","passed","2026-09-20","TestMainFunctionality","test_main_functionality","",""
"","5508","Появление номера заказа в разделе ""В работе""","tests","2026-09-20","passed","2026-09-20","TestOrderFeed","test_orders_feed","",""
